Update, Host_Donation, Sym_Donation, Host_Count, Sym_Count
0, 0.5, 0.5, 10000, 10000
1, 0.504288, 0.505544, 10000, 10000
2, 0.504858, 0.508311, 10000, 10000
3, 0.509152, 0.513508, 10000, 10000
4, 0.51239, 0.524504, 10000, 10000
5, 0.517851, 0.528167, 10000, 10000
6, 0.525282, 0.549491, 10000, 10000
7, 0.5312, 0.55457, 10000, 10000
8, 0.541163, 0.584753, 10000, 10000
9, 0.545292, 0.589586, 10000, 10000
10, 0.557579, 0.623685, 10000, 10000
11, 0.56245, 0.628314, 10000, 10000
12, 0.575691, 0.66423, 10000, 10000
13, 0.580574, 0.671114, 10000, 10000
14, 0.593479, 0.704306, 10000, 10000
15, 0.600492, 0.710622, 10000, 10000
16, 0.609762, 0.736745, 10000, 10000
17, 0.614634, 0.744752, 10000, 10000
18, 0.625065, 0.764393, 10000, 10000
19, 0.629927, 0.770802, 10000, 10000
20, 0.637284, 0.783041, 10000, 10000
21, 0.642467, 0.788567, 10000, 10000
22, 0.650058, 0.800262, 10000, 10000
23, 0.651628, 0.802021, 10000, 10000
24, 0.656509, 0.806265, 10000, 10000
25, 0.658157, 0.811162, 10000, 10000
26, 0.663204, 0.81363, 10000, 10000
27, 0.666179, 0.81752, 10000, 10000
28, 0.670495, 0.818358, 10000, 10000
29, 0.67233, 0.819648, 10000, 10000
30, 0.675325, 0.819481, 10000, 10000
31, 0.674456, 0.821383, 10000, 10000
32, 0.673993, 0.823121, 10000, 10000
33, 0.676397, 0.825042, 10000, 10000
34, 0.677973, 0.825392, 10000, 10000
35, 0.681936, 0.828253, 10000, 10000
36, 0.684564, 0.826194, 10000, 10000
37, 0.687435, 0.825896, 10000, 10000
38, 0.688238, 0.825304, 10000, 10000
39, 0.689785, 0.824352, 10000, 10000
40, 0.690752, 0.82605, 10000, 10000
41, 0.691399, 0.825233, 10000, 10000
42, 0.692018, 0.822098, 10000, 10000
43, 0.692486, 0.8208, 10000, 10000
44, 0.694909, 0.821895, 10000, 10000
45, 0.69647, 0.823048, 10000, 10000
46, 0.699036, 0.82311, 10000, 10000
47, 0.700839, 0.822163, 10000, 10000
48, 0.702156, 0.823831, 10000, 10000
49, 0.702253, 0.824524, 10000, 10000
50, 0.704529, 0.821821, 10000, 10000
51, 0.70495, 0.820404, 10000, 10000
52, 0.704691, 0.819943, 10000, 10000
53, 0.703433, 0.820458, 10000, 10000
54, 0.706231, 0.820791, 10000, 10000
55, 0.707115, 0.824271, 10000, 10000
56, 0.707875, 0.824801, 10000, 10000
57, 0.707899, 0.826246, 10000, 10000
58, 0.708145, 0.82626, 10000, 10000
59, 0.705858, 0.824899, 10000, 10000
60, 0.708079, 0.826532, 10000, 10000
61, 0.708081, 0.826928, 10000, 10000
62, 0.709529, 0.82686, 10000, 10000
63, 0.710084, 0.827207, 10000, 10000
64, 0.710226, 0.827135, 10000, 10000
65, 0.709431, 0.828189, 10000, 10000
66, 0.711374, 0.827242, 10000, 10000
67, 0.715436, 0.825189, 10000, 10000
68, 0.714883, 0.825003, 10000, 10000
69, 0.712472, 0.824507, 10000, 10000
70, 0.709988, 0.822449, 10000, 10000
71, 0.70858, 0.821679, 10000, 10000
72, 0.707678, 0.820262, 10000, 10000
73, 0.706083, 0.820441, 10000, 10000
74, 0.703079, 0.821776, 10000, 10000
75, 0.70345, 0.820023, 10000, 10000
76, 0.704754, 0.820121, 10000, 10000
77, 0.704911, 0.821401, 10000, 10000
78, 0.705913, 0.824207, 10000, 10000
79, 0.706177, 0.824217, 10000, 10000
80, 0.706695, 0.825055, 10000, 10000
81, 0.704067, 0.825215, 10000, 10000
82, 0.70544, 0.828243, 10000, 10000
83, 0.70501, 0.82812, 10000, 10000
84, 0.706514, 0.828437, 10000, 10000
85, 0.707485, 0.826077, 10000, 10000
86, 0.707766, 0.825389, 10000, 10000
87, 0.709334, 0.824011, 10000, 10000
88, 0.706366, 0.822946, 10000, 10000
89, 0.708396, 0.821317, 10000, 10000
90, 0.712409, 0.820844, 10000, 10000
91, 0.712629, 0.822313, 10000, 10000
92, 0.712238, 0.822149, 10000, 10000
93, 0.711567, 0.824593, 10000, 10000
94, 0.71395, 0.823399, 10000, 10000
